[00027065.4] STATE    ph=24.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.01s work=2ms
[00027584.3] STATE    ph=25.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.01s work=4ms
[00028099.0] STATE    ph=25.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=2ms
[00028599.4] STATE    ph=26.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=2ms
[00029116.7] STATE    ph=26.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.01s work=2ms
[00029616.9] STATE    ph=27.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.01s work=2ms
[00030117.8] STATE    ph=27.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=2ms
[00030633.6] STATE    ph=28.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=27(need~30) present=17ms atraso=0.00s work=1ms
[00031134.9] STATE    ph=28.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=-0.02s work=2ms
[00031635.3] STATE    ph=29.2s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=2ms
[00032151.8] STATE    ph=29.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=2ms
[00032669.3] STATE    ph=30.2s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=3ms
[00033186.3] STATE    ph=30.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=31(need~30) present=17ms atraso=-0.03s work=3ms
[00033687.0] STATE    ph=31.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=-0.01s work=1ms
[00034187.1] STATE    ph=31.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=1ms
[00034687.2] STATE    ph=32.2s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=-0.00s work=1ms
[00035194.4] STATE    ph=32.7s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=0.00s work=1ms
[00035695.1] STATE    ph=33.2s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=0.00s work=1ms
[00036197.7] STATE    ph=33.7s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=4ms
[00036713.4] STATE    ph=34.1s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=27(need~30) present=17ms atraso=-0.03s work=2ms
[00037216.2] STATE    ph=34.6s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.03s work=4ms
[00037733.0] STATE    ph=35.2s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=4ms
